Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACHTOPIA,Loop Puffy Wavy Dinky Bag Black,IDR 4.200.000,IDR 4.500.000,7%,https://www.banananina.co.id/bags/crossbody-bags/loop-puffy-wavy-dinky-bag-black.html,https://media.banananina.id/catalog/product/0/1/01077471_d.jpg?v=f4109bb3db9825189dee98125e3e414b&updated=2024-11-29 08:17:02,https://media.banananina.id/catalog/product/0/1/01077471_m.jpg?v=f4109bb3db9825189dee98125e3e414b&updated=2024-11-29 08:17:02,loop-puffy-wavy-dinky-bag-black,BRAND NEW,The Coachtopia Loop Puffy Wavy Dinky is a satisfyingly squeezable take on our beloved Wavy Dinky bag with a shell and lining crafted in 100% recycled PET plastic (rPET).,Made in Vietnam | Style number : CQ859 | Open hook closure | Fabric material | Removable shoulder wear,Brand new,images\crossbody\primary\Loop Puffy Wavy Dinky Bag Black_primary.jpg,images\crossbody\hover\Loop Puffy Wavy Dinky Bag Black_hover.jpg
KATE SPADE,Sam Icon Small Convertible Crossbody Pistachio,IDR 3.000.000,IDR 3.150.000,5%,https://www.banananina.co.id/sam-icon-small-convertible-crossbody-pistachio.html,https://media.banananina.id/catalog/product/0/1/01009778_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01009778_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,sam-icon-small-convertible-crossbody-pistachio,BRAND NEW,"Crafted in spazzolato leather-a smooth cowhide leather with a light sheen and polished finish-for a cool, modern look. plus, this special leather is durable and easy to clean, so you can cherish this bag for many years to come.",Made in Vietnam | Style number : KB287 | Open zip closure | Silver tone hardware | Faille lining | Woven label logo | 1 zip pocket | 1 slip pocket | Adjustable/removable crossbody wear,Brand new,images\crossbody\primary\Sam Icon Small Convertible Crossbody Pistachio_primary.jpg,images\crossbody\hover\Sam Icon Small Convertible Crossbody Pistachio_hover.jpg
MICHAEL KORS,Jet Set Item Signature Large Crossbody Brown Luggage,IDR 2.125.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/jet-set-item-signature-large-crossbody-brown-luggage-129342.html,https://media.banananina.id/catalog/product/0/0/00554815_rb1.jpg?v=989ef01bbc499b1691a1aa3bc745e4cb&updated=2024-10-18 10:12:14,https://media.banananina.id/catalog/product/0/0/00554815_m1.jpg?v=989ef01bbc499b1691a1aa3bc745e4cb&updated=2024-10-18 10:12:14,jet-set-item-signature-large-crossbody-brown-luggage-129342,BRAND NEW,"Made of signature coated canvas. The bag features a zip closure that opens to polyester lining with one slip pocket, adjustable long strap.",Made in india | Serial Number 35F8GTTC3B | Gold-Tone Hardware | Zip Closure | Polyester Lining | One Slip Pocket | Adjustable Long Strap | Michael Kors Metal Logo,New With Tag,images\crossbody\primary\Jet Set Item Signature Large Crossbody Brown Luggage_primary.jpg,images\crossbody\hover\Jet Set Item Signature Large Crossbody Brown Luggage_hover.jpg
KATE SPADE,Knott Leather Small Crossbody Deep Cherry,IDR 2.450.000,,No discount,https://www.banananina.co.id/knott-leather-small-crossbody-deep-cherry.html,https://media.banananina.id/catalog/product/0/1/01077136_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01077136_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,knott-leather-small-crossbody-deep-cherry,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to spade flower jacquard lining with interior one zip pocket, one slip pocket and exterior one slip pocket with magnetic snap closure at back.",Made in cambodia | Style number K6554 | Gold tone hardware | Pebble leather | Zip closure | Spade flower jacquard lining | Interior 1 zip pocket | Interior 1 slip pocket | Exterior 1 slip pocket with magnetic snap closure at back | Adjustable and removable long strap | Kate spade metal logo lettering,New With Tag,images\crossbody\primary\Knott Leather Small Crossbody Deep Cherry_primary.jpg,images\crossbody\hover\Knott Leather Small Crossbody Deep Cherry_hover.jpg
KATE SPADE,Madison Saffiano Duffle Crossbody Black,IDR 2.950.000,IDR 3.500.000,16%,https://www.banananina.co.id/bags/crossbody-bags/madison-saffiano-duffle-crossbody-black-121978.html,https://media.banananina.id/catalog/product/0/0/001009426_d.jpg?v=64e9cd2c6a9d5070e5844c42d79ee436&updated=2024-11-25 09:22:53,https://media.banananina.id/catalog/product/0/1/01009426_m.jpg?v=64e9cd2c6a9d5070e5844c42d79ee436&updated=2024-11-25 09:22:53,madison-saffiano-duffle-crossbody-black-121978,BRAND NEW,"Made of saffiano leather. The bag features a zip closure that opens to polyester lining with one zip pocket, double handles drop 10 cm.",Made In Indonesia | Serial Number : KF493 | Gold-Tone Hardware | Zip Closure | Polyester Lining | One Zip Pocket | Double Handles Drop 10cm | Adjustable/Removable Long Strap | Kate Spade Metal Logo,Brand new,images\crossbody\primary\Madison Saffiano Duffle Crossbody Black_primary.jpg,images\crossbody\hover\Madison Saffiano Duffle Crossbody Black_hover.jpg
KATE SPADE,Knott Mini Crossbody Beach Glass,IDR 3.150.000,IDR 3.350.000,6%,https://www.banananina.co.id/bags/crossbody-bags/knott-mini-crossbody-beach-glass.html,https://media.banananina.id/catalog/product/0/0/001076273_d.jpg?v=0605c2297d9f7f5c398a19dbf6aef02c&updated=2024-11-12 10:13:34,https://media.banananina.id/catalog/product/0/1/01076273_m.jpg?v=0605c2297d9f7f5c398a19dbf6aef02c&updated=2024-11-12 10:13:34,knott-mini-crossbody-beach-glass,BRAND NEW,"Made of pebbled leather. The bag features a magnetic closure and on top handle that opens to faille lining with interior one slip middle pocket, one card slots.",Made in cambodia | Style number KD067 | Pebbled leather | Magnetic closure and top handle closure | Faille lining | Interior 1 slip middle pocket | Interior 1 card slots | Adjustable and removable long strap | Kate spade metal logo lettering,New With Tag,images\crossbody\primary\Knott Mini Crossbody Beach Glass_primary.jpg,images\crossbody\hover\Knott Mini Crossbody Beach Glass_hover.jpg
FOSSIL,SHB2946136 Brennon Leather Camera Bag White Tan,IDR 1.425.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/shb2946136-brennon-leather-camera-bag-white-tan-125722.html,https://media.banananina.id/catalog/product/0/0/00870228_d.jpg?v=57bc3340b8943e7a074c5b11136f1bcc&updated=2024-08-16 10:21:46,https://media.banananina.id/catalog/product/0/0/00870228_m.jpg?v=57bc3340b8943e7a074c5b11136f1bcc&updated=2024-08-16 10:21:46,shb2946136-brennon-leather-camera-bag-white-tan-125722,BRAND NEW,"Made of canvas with leather. The features Bag a zip closure that opens to polyester lining with one zip pocket, exterior one slip pocket at front.",Made In Cambodia | Serial Number : SHB2946136 | Old English Brass | Zip Closure | Polyester Lining | One Zip Pocket | Exterior One Slip Pocket at Front | Adjustable Strap,Brand new | Completeness: Care card,images\crossbody\primary\SHB2946136 Brennon Leather Camera Bag White Tan_primary.jpg,images\crossbody\hover\SHB2946136 Brennon Leather Camera Bag White Tan_hover.jpg
COACH,CJ943 Signature Micro Klare Crossbody Bag Khaki Black,IDR 5.950.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/cj943-signature-micro-klare-crossbody-bag-khaki-black.html,https://media.banananina.id/catalog/product/0/0/001050020_d.jpg?v=e6e9b77ac9b3e49feb4140afbaaa8893&updated=2024-11-04 07:28:54,https://media.banananina.id/catalog/product/0/1/01050020_m.jpg?v=e6e9b77ac9b3e49feb4140afbaaa8893&updated=2024-11-04 07:28:54,cj943-signature-micro-klare-crossbody-bag-khaki-black,BRAND NEW,"Made of signature coated canvas with smooth leather with fabric lining. The bag features an open button magnetic flap closure, gold tone hardware, two compartments, one zip pocket, one slip pocket, and one rear eksterior slip pocket.",Made in Cambodia | Style number : CJ943 | Open button magnetic flap closure | Gold tone hardware,Brand new,images\crossbody\primary\CJ943 Signature Micro Klare Crossbody Bag Khaki Black_primary.jpg,images\crossbody\hover\CJ943 Signature Micro Klare Crossbody Bag Khaki Black_hover.jpg
MARC JACOBS,4S4HMS005H02 Nylon Jumbled Logo Messenger Black,IDR 3.000.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/4s4hms005h02-nylon-jumbled-logo-messenger-black-126028.html,https://media.banananina.id/catalog/product/0/1/01074914_d.jpg?v=c11bff020fc9fd705cfd21a9decf8475&updated=2024-08-21 10:27:05,https://media.banananina.id/catalog/product/0/1/01074914_m.jpg?v=c11bff020fc9fd705cfd21a9decf8475&updated=2024-08-21 10:27:05,4s4hms005h02-nylon-jumbled-logo-messenger-black-126028,BRAND NEW,"Made of embossed nylon with nylon lining. The bag features an open button magnetic flap closure, silver tone hardware, one zip pocket, one front slip pocket and one rear eksterior slip pocket with button magnetic closure.",Made in Vietnam | Style number : 4S4HMS005H02-001 | Open button magnetic flap closure | Silver tone hardware | Adjustable/removable crossbody wear,Brand new,images\crossbody\primary\4S4HMS005H02 Nylon Jumbled Logo Messenger Black_primary.jpg,images\crossbody\hover\4S4HMS005H02 Nylon Jumbled Logo Messenger Black_hover.jpg
MARC JACOBS,S110M06RE22 Daily Party Chain Crossbody Bag Black,IDR 4.500.000,,No discount,https://www.banananina.co.id/s110m06re22-daily-party-chain-crossbody-bag-black.html,https://media.banananina.id/catalog/product/0/1/01076099_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01076099_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,s110m06re22-daily-party-chain-crossbody-bag-black,BRAND NEW,"Made of calf leather. The bag features a magnetic closure that opens to smooth leather and fabric lining with interior one zip compartment, one slip pocket, six card slots and exterior one slip pocket at back.",Made in Vietnam | Style Number S110M06RE22 001 | Gold tone hardware | Leather material | Magnetic closure | Smooth leather and fabric lining | Interior 1 zip compartment | Interior 1 slip pocket | Interior 6 card slots | Exterior 1 slip pocket at back | Removable chain strap,Brand new | Completeness: Care card,images\crossbody\primary\S110M06RE22 Daily Party Chain Crossbody Bag Black_primary.jpg,images\crossbody\hover\S110M06RE22 Daily Party Chain Crossbody Bag Black_hover.jpg
