Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,CH504 Signature Gallery Tote Khaki Saddle,IDR 3.300.000,IDR 3.500.000,6%,https://www.banananina.co.id/bags/totes/ch504-signature-gallery-tote-khaki-saddle-127815.html,https://media.banananina.id/catalog/product/0/0/00966167_d4.jpg?v=d5e2d289bd8ba9e9e224a6019dfa5505&updated=2024-10-21 03:30:14,https://media.banananina.id/catalog/product/0/0/00966167_m.jpg?v=d5e2d289bd8ba9e9e224a6019dfa5505&updated=2024-10-21 03:30:14,ch504-signature-gallery-tote-khaki-saddle-127815,BRAND NEW,"Made of coated canvas and leather. The bag features a zip closure that opens to fabric lining with two slip pockets, one zip pocket, exterior one zip pocket at back.",Made in Philippines | Serial Number CH504 | Gold-Tone Hardware | Zip Closure | 1 Zip Pocket | 2 Slip Pockets | 1 Zip Pocket at Back | Double Handles Drop 32 cm | Coach Metal Logo Lettering,New With Tag,images\totes\primary\CH504 Signature Gallery Tote Khaki Saddle_primary.jpg,images\totes\hover\CH504 Signature Gallery Tote Khaki Saddle_hover.jpg
LONGCHAMP,Le Pliage Neo Large LH Rouge,IDR 2.650.000,,No discount,https://www.banananina.co.id/bags/totes/le-pliage-neo-large-lh-rouge.html,https://media.banananina.id/catalog/product/0/0/00926990_d2.jpg?v=e1a284424a750daf06551b545c49bfdd&updated=2024-09-23 02:38:21,https://media.banananina.id/catalog/product/0/0/00926990_m.jpg?v=e1a284424a750daf06551b545c49bfdd&updated=2024-09-23 02:38:21,le-pliage-neo-large-lh-rouge,BRAND NEW,"Crafted from nylon. This bag features double handles, a flap with snap button, a zip closure that opens to the main compartment with a slip pocket.",Made in France | Serial number L1899578545 | Silver tone hardware | 1 Slip Pockets,Brand new | Completeness: Care card,images\totes\primary\Le Pliage Neo Large LH Rouge_primary.jpg,images\totes\hover\Le Pliage Neo Large LH Rouge_hover.jpg
MICHAEL KORS,Charlotte Large Zip Tote Luggage,IDR 2.300.000,,No discount,https://www.banananina.co.id/bags/totes/charlotte-large-zip-tote-luggage-132023.html,https://media.banananina.id/catalog/product/0/0/00729563_d.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,https://media.banananina.id/catalog/product/0/0/00729563_s.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,charlotte-large-zip-tote-luggage-132023,BRAND NEW,"Crafted of saffiano leather. The bag features double handles, a top zip closure, polyester lining with a zip pocket. It also has two exterior side pockets.",Made in Indonesia | Serial Number 35T0GCFT7L | Gold Tone Hardware | Polyester Lining | One Zip Pocket | Two Side Pockets | Handle Drop 24 cm | Michael Kors Metal Logo,New With Tag,images\totes\primary\Charlotte Large Zip Tote Luggage_primary.jpg,images\totes\hover\Charlotte Large Zip Tote Luggage_hover.jpg
MICHAEL KORS,Charlotte Large Zip Tote Black,IDR 3.200.000,IDR 3.500.000,9%,https://www.banananina.co.id/bags/totes/charlotte-large-zip-tote-black-130888.html,https://media.banananina.id/catalog/product/0/0/00618211_d.jpg?v=04ead0e3a810aab246e76d323e5f5271&updated=2024-11-29 02:34:42,https://media.banananina.id/catalog/product/0/0/00618211_m.jpg?v=04ead0e3a810aab246e76d323e5f5271&updated=2024-11-29 02:34:42,charlotte-large-zip-tote-black-130888,BRAND NEW,"Crafted of saffiano leather. The bag features double handles, a top zip closure, polyester lining with a zip pocket. It also has 2 exterior side pockets.",Made in Indonesia | Serial Number 35T0GCFT7L | Gold Tone Hardware | One Zip Pocket | Two Side Pocket | Handles with 24 cm drop | Michael Kors Metal Logo Lettering,Brand new,images\totes\primary\Charlotte Large Zip Tote Black_primary.jpg,images\totes\hover\Charlotte Large Zip Tote Black_hover.jpg
TORY BURCH,T Monogram Small Tote Ivory,IDR 8.700.000,,No discount,https://www.banananina.co.id/t-monogram-small-tote-ivory.html,https://media.banananina.id/catalog/product/0/1/01086099_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01086099_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,t-monogram-small-tote-ivory,BRAND NEW,"Made of jacquard leather trim. The bag features a zip closure that opens to microfiber lining with a suede-like finish with interior one zip pocket, two slip pockets.",Made in vietnam | Style number 147640 254 | Old brass english tone hardware | Jacquard leather trim | Zip closure | Microfiber lining with a suede-like finish | Interior 1 zip pocket | Interior 2 slip pockets | Handle drop 21 cm,New With Tag,images\totes\primary\T Monogram Small Tote Ivory_primary.jpg,images\totes\hover\T Monogram Small Tote Ivory_hover.jpg
MICHAEL KORS,Signature Charlotte Large Zip Tote Vanilla Luggage,IDR 3.200.000,,No discount,https://www.banananina.co.id/bags/totes/signature-charlotte-large-zip-tote-vanilla-luggage-131574.html,https://media.banananina.id/catalog/product/0/0/00617402_d85.jpg?v=1f745b1afcdfa85518226832ce791306&updated=2024-12-02 04:22:07,https://media.banananina.id/catalog/product/0/0/00617402_m85.jpg?v=1f745b1afcdfa85518226832ce791306&updated=2024-12-02 04:22:07,signature-charlotte-large-zip-tote-vanilla-luggage-131574,BRAND NEW,"Crafted of signature coated canvas with textured leather. The bag features double handles, a top zip closure, polyester lining with a zip pocket. It also has two exterior side pockets.",Made in Ethiopia | Serial Number 35T0GCFT3B | Gold-tone Hardware | Polyester Lining | One Zip Pocket | Two Side Pockets | Handle Drop 24 cm | Michael Kors Metal Logo,New With Tag,images\totes\primary\Signature Charlotte Large Zip Tote Vanilla Luggage_primary.jpg,images\totes\hover\Signature Charlotte Large Zip Tote Vanilla Luggage_hover.jpg
LONGCHAMP,Le Pliage Original Medium LH Paper,IDR 2.900.000,,No discount,https://www.banananina.co.id/bags/totes/le-pliage-original-medium-lh-paper-131093.html,https://media.banananina.id/catalog/product/0/0/00984624_d.jpg?v=75e2b61acc52cf986741044f315d6e71&updated=2024-11-19 10:48:48,https://media.banananina.id/catalog/product/0/0/00984624_m.jpg?v=75e2b61acc52cf986741044f315d6e71&updated=2024-11-19 10:48:48,le-pliage-original-medium-lh-paper-131093,BRAND NEW,This ultra lightweight nylon canvas model with slender handles and a snap closure leather flap is one of Longchamp most emblematic bags. The top zip closure opens to spacious compartment with a hanging slip wall pocket.,Made in China | Serial Number L2605089P71 | Gold-Tone Hardware | Nylon Canvas Leather | Zip and Flap Button Closure | Fabric Lining | 2 Slip Pockets | Double Handles Drop 24 cm,New With Tag,images\totes\primary\Le Pliage Original Medium LH Paper_primary.jpg,images\totes\hover\Le Pliage Original Medium LH Paper_hover.jpg
COACH,CH740 Field Canvas Tote 22 Natural Canvas Pool,IDR 3.200.000,,No discount,https://www.banananina.co.id/ch740-field-canvas-tote-22-natural-canvas-pool-127504.html,https://media.banananina.id/catalog/product/0/1/01004785_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01004785_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,ch740-field-canvas-tote-22-natural-canvas-pool-127504,BRAND NEW,"Made of canvas and refined calf leather. The bag features a snap closure that opens to fabric lining with one zip pocket, handle drop 10 cm.",Made in Philippines | Serial Number : CH740 | Gold Tone Hardware | Canvas and Refined Calf Leather | Snap Closure | Fabric Lining | Inside zip pocket | Handles with 10cm drop | Detachable strap with 62cm drop for shoulder or crossbody wear | Four protective feet at base,Brand new | Completeness: Care card,images\totes\primary\CH740 Field Canvas Tote 22 Natural Canvas Pool_primary.jpg,images\totes\hover\CH740 Field Canvas Tote 22 Natural Canvas Pool_hover.jpg
TORY BURCH,T Monogram Tote Tory Navy,IDR 9.500.000,,No discount,https://www.banananina.co.id/t-monogram-tote-tory-navy.html,https://media.banananina.id/catalog/product/0/1/01085891_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01085891_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,t-monogram-tote-tory-navy,BRAND NEW,"Made of jacquard leather trim. The bag features a zip closure that opens to microfiber lining with a suede-like finish with interior one zip pocket, three slip pockets.",Made in vietnam | Style number 143533 1122 405 | Old brass english tone hardware | Jacquard leather trim | Zip closure | Microfiber lining with a suedelike finish | Interior 1 zip pocket | Interior 3 slip pockets | Handle drop 24 cm,New With Tag,images\totes\primary\T Monogram Tote Tory Navy_primary.jpg,images\totes\hover\T Monogram Tote Tory Navy_hover.jpg
TORY BURCH,New Ella Nylon Tote Black Gold,IDR 5.200.000,,No discount,https://www.banananina.co.id/new-ella-nylon-tote-black-gold.html,https://media.banananina.id/catalog/product/0/1/01000914_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01000914_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,new-ella-nylon-tote-black-gold,BRAND NEW,A mix of smooth leather and nylon materials. Featuring a roomy interior that can easily accommodate all of your essentials.,Made in Cambodia | Serial Number 136144 1121 001 | Gold-tone Hardware | Open tote with covered magnetic snaps at gussets | 1 zip wall pocket | 1 slip pocket | Double Handles Drop 25 cm,New With Tag,images\totes\primary\New Ella Nylon Tote Black Gold_primary.jpg,images\totes\hover\New Ella Nylon Tote Black Gold_hover.jpg
