Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
KATE SPADE,Chelsea Gingham Medium Backpack Pink Multi,IDR 2.300.000,,No discount,https://www.banananina.co.id/bags/backpacks/chelsea-gingham-medium-backpack-pink-multi-125050.html,https://media.banananina.id/catalog/product/0/1/01069846_d.jpg?v=6d6419c9b44732fe0f9af854f9f5acad&updated=2024-08-07 10:26:22,https://media.banananina.id/catalog/product/0/1/01069846_m.jpg?v=6d6419c9b44732fe0f9af854f9f5acad&updated=2024-08-07 10:26:22,chelsea-gingham-medium-backpack-pink-multi-125050,BRAND NEW,"Made of nylon. The backpack features a zip closure that opens to two way script logo lining with interior one zip pocket, three slip pockets, three card slots and exterior one zip pocket at front, two side slip pockets.",Made in philippines | Style number KG566 | Light gold tone hardware | Nylon material | Zip closure | Two way script logo lining | Interior 1 zip pocket | Interior 3 slip pockets | Interior 3 card slots | Exterior 1 zip pockets at front | Exterior 2 side slip pockets | Kate spade metal logo lining,New With Tag,images\backpacks\primary\Chelsea Gingham Medium Backpack Pink Multi_primary.jpg,images\backpacks\hover\Chelsea Gingham Medium Backpack Pink Multi_hover.jpg
COACH,CR130 Signature Pace Backpack Khaki Saddle,IDR 3.830.000,,No discount,https://www.banananina.co.id/bags/backpacks/cr130-signature-pace-backpack-khaki-saddle-121437.html,https://media.banananina.id/catalog/product/0/0/001049976_d.jpg?v=a9658fa7406f4d9471cc2711bd502552&updated=2024-10-28 07:36:25,https://media.banananina.id/catalog/product/0/0/001049976_m.jpg?v=a9658fa7406f4d9471cc2711bd502552&updated=2024-10-28 07:36:25,cr130-signature-pace-backpack-khaki-saddle-121437,BRAND NEW,"Signature coated canvas with smooth leather with fabric lining. The bag features an open push lock and drawstring closure, silver tone hardware, one zip pocket, one slip pocket, and one front zip pocket.",Made in Philippines | Style number : CR130 | Open push lock and drawstring closure | Silver tone hardware | Metal logo lettering at front,Brand new | Completeness: Care card,images\backpacks\primary\CR130 Signature Pace Backpack Khaki Saddle_primary.jpg,images\backpacks\hover\CR130 Signature Pace Backpack Khaki Saddle_hover.jpg
MARC JACOBS,4S4HBP002H02 Nylon Quilted Mini Backpack Black,IDR 4.250.000,,No discount,https://www.banananina.co.id/4s4hbp002h02-nylon-quilted-mini-backpack-black.html,https://media.banananina.id/catalog/product/0/1/01066068_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01066068_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,4s4hbp002h02-nylon-quilted-mini-backpack-black,BRAND NEW,Made of nylon. The backpack features a zip closure that opens to fabric lining with exterior one zip pocket at front.,Made in Vietnam | Style number 4S4HBP002H02-001 | Silver tone hardware | Nylon | Zip closure | Fabric lining | Exterior 1 zip pocket at front,Brand new | Completeness: Care card,images\backpacks\primary\4S4HBP002H02 Nylon Quilted Mini Backpack Black_primary.jpg,images\backpacks\hover\4S4HBP002H02 Nylon Quilted Mini Backpack Black_hover.jpg
COACH,C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi,IDR 2.700.000,,No discount,https://www.banananina.co.id/bags/backpacks/c6910-disney-mickey-mouse-x-keith-haring-small-west-backpack-chalk-red-multi-123927.html,https://media.banananina.id/catalog/product/0/0/00858716_d28.jpg?v=ed01f3740c28cb67e97a3b317400adae&updated=2024-07-23 02:24:29,https://media.banananina.id/catalog/product/0/0/00858716_d28.jpg?v=ed01f3740c28cb67e97a3b317400adae&updated=2024-07-23 02:24:29,c6910-disney-mickey-mouse-x-keith-haring-small-west-backpack-chalk-red-multi-123927,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to fabric lining with one slip pocket, exterior one zip pocket at front, adjustable strap.",Made In Vietnam | Serial Number : C6910 | Gunmetal Tone Hardware | Zip Closure | Fabric Lining | One Slip Pocket | One Zip Pocket at Front | Adjustable Strap,New With Tag,images\backpacks\primary\C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi_primary.jpg,images\backpacks\hover\C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi_hover.jpg
COACH,C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi,IDR 2.700.000,,No discount,https://www.banananina.co.id/bags/backpacks/c6910-disney-mickey-mouse-x-keith-haring-small-west-backpack-chalk-red-multi-123927.html,https://media.banananina.id/catalog/product/0/0/00858716_d28.jpg?v=ed01f3740c28cb67e97a3b317400adae&updated=2024-07-23 02:24:29,https://media.banananina.id/catalog/product/0/0/00858716_d28.jpg?v=ed01f3740c28cb67e97a3b317400adae&updated=2024-07-23 02:24:29,c6910-disney-mickey-mouse-x-keith-haring-small-west-backpack-chalk-red-multi-123927,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to fabric lining with one slip pocket, exterior one zip pocket at front, adjustable strap.",Made In Vietnam | Serial Number : C6910 | Gunmetal Tone Hardware | Zip Closure | Fabric Lining | One Slip Pocket | One Zip Pocket at Front | Adjustable Strap,New With Tag,images\backpacks\primary\C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi_primary.jpg,images\backpacks\hover\C6910 Disney Mickey Mouse X Keith Haring Small West Backpack Chalk Red Multi_hover.jpg
MICHAEL KORS,Jaycee Leather Medium Zip Backpack Bright Red,IDR 2.500.000,,No discount,https://www.banananina.co.id/bags/backpacks/jaycee-leather-medium-zip-backpack-bright-red-122865.html,https://media.banananina.id/catalog/product/0/0/001059648_d.jpg?v=a1394580e0fd730c48223f1d0bce56bd&updated=2024-09-13 09:25:09,https://media.banananina.id/catalog/product/0/0/001059648_m.jpg?v=a1394580e0fd730c48223f1d0bce56bd&updated=2024-09-13 09:25:09,jaycee-leather-medium-zip-backpack-bright-red-122865,BRAND NEW,"Made of pebble leather. The bag features a double zip closure that opens to polyester lining with two slip pockets, one zip pocket, one front eksterior zip pocket and adjustable strap.",Made in Indonesia | Style number : 35S2G8TB2L | Open Double zip closure | Gold tone hardware | 1 zip pocket | 2 slip pockets | 1 eksterior front zip pocket with metal logo lettering,Brand new | Completeness: Care card,images\backpacks\primary\Jaycee Leather Medium Zip Backpack Bright Red_primary.jpg,images\backpacks\hover\Jaycee Leather Medium Zip Backpack Bright Red_hover.jpg
MICHAEL KORS,Jaycee Leather Xs Convertible Zip Pocket Backpack Bright Red,IDR 2.250.000,,No discount,https://www.banananina.co.id/bags/backpacks/jaycee-leather-xs-convertible-zip-pocket-backpack-bright-red-122259.html,https://media.banananina.id/catalog/product/0/1/01055600_d.jpg?v=020ad59f67b9149b1d00b8d86ec53803&updated=2024-06-28 02:45:12,https://media.banananina.id/catalog/product/0/1/01055600_m_1.jpg?v=020ad59f67b9149b1d00b8d86ec53803&updated=2024-06-28 02:45:12,jaycee-leather-xs-convertible-zip-pocket-backpack-bright-red-122259,BRAND NEW,"Made of leather. The bag features a double zip closure that opens to polyester lining with two slip pockets, one zip pocket, adjustable strap.",Made In Indonesia | Serial Number 35T2S8TB1L | Silver Tone Hardware | Zip Closure | Polyester Lining | Two Slip Pockets | One Zip Pocket at Front | Adjustable and Removable Strap | Michael Kors Metal Logo,New With Tag,images\backpacks\primary\Jaycee Leather Xs Convertible Zip Pocket Backpack Bright Red_primary.jpg,images\backpacks\hover\Jaycee Leather Xs Convertible Zip Pocket Backpack Bright Red_hover.jpg
COACH,Men CT813 Signature Colorblock West Pack Charcoal Khaki Denim,IDR 4.200.000,IDR 4.500.000,7%,https://www.banananina.co.id/bags/backpacks/men-ct813-signature-colorblock-west-pack-charcoal-khaki-denim.html,https://media.banananina.id/catalog/product/0/1/01056167_d.jpg?v=59e59576a44fdf2ea1c9ea481df454b4&updated=2024-11-29 08:03:59,https://media.banananina.id/catalog/product/0/1/01056167_s.jpg?v=59e59576a44fdf2ea1c9ea481df454b4&updated=2024-11-29 08:03:59,men-ct813-signature-colorblock-west-pack-charcoal-khaki-denim,BRAND NEW,"Signature coated canvas with pebble leather with fabric lining. The bag features an open zip closure, gunmetal tone hardware, one slip pocket, and eksterior front zip pocket.",Made in Vietnam | Style number : CT813 | Open zip closure | Gunmetal tone hardware | Adjustable west pack wear,Brand new | Completeness: Care card,images\backpacks\primary\Men CT813 Signature Colorblock West Pack Charcoal Khaki Denim_primary.jpg,images\backpacks\hover\Men CT813 Signature Colorblock West Pack Charcoal Khaki Denim_hover.jpg
COACH,C8603 Coach Mini Court Backpack Retro Yellow,IDR 2.300.000,,No discount,https://www.banananina.co.id/bags/backpacks/c8603-coach-mini-court-backpack-retro-yellow-122177.html,https://media.banananina.id/catalog/product/0/0/00843266_d51.jpg?v=ee0a338912ac10f360b64a0aaed0cd5a&updated=2024-06-27 02:26:13,https://media.banananina.id/catalog/product/0/0/00843266_m51.jpg?v=ee0a338912ac10f360b64a0aaed0cd5a&updated=2024-06-27 02:26:13,c8603-coach-mini-court-backpack-retro-yellow-122177,BRAND NEW,"Refined pebble leather. Inside zip and multifunction pockets. Double zip closure, fabric lining. Handle with 1 1/2 inc drop. Outside zip and open pockets. Adjustable shoulder straps. 8 (W) x 9 (H) x 3 1/2 (D) inc.",Made In Philippines | Style Number : C8603 | Gold Tone Hardware | Double Zip Closure | 1 Zip Pocket At Front | 1 Zip Pocket | 1 Slip Pocket | Adjustable Backpack Wear,New With Tag,images\backpacks\primary\C8603 Coach Mini Court Backpack Retro Yellow_primary.jpg,images\backpacks\hover\C8603 Coach Mini Court Backpack Retro Yellow_hover.jpg
FOSSIL,SHB2989015 Elina Convertible Small Backpack Black Brown,IDR 1.850.000,,No discount,https://www.banananina.co.id/shb2989015-elina-convertible-small-backpack-black-brown.html,https://media.banananina.id/catalog/product/0/0/001054594_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01054594_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,shb2989015-elina-convertible-small-backpack-black-brown,BRAND NEW,"Made of PVC. The bag features a zip closure that opens to polyester lining with one slip pocket, one zip pocket, exterior one zip pocket at back, one card slot at back.",Made In Cambodia | Serial Number : SHB2989015 | Old-Brass Hardware | Zip Closure | Polyester Lining | One Zip Pocket | One Slip Pocket | One Card Slot | One Zip Pocket | Adjustable and Removable Strap,New With Tag,images\backpacks\primary\SHB2989015 Elina Convertible Small Backpack Black Brown_primary.jpg,images\backpacks\hover\SHB2989015 Elina Convertible Small Backpack Black Brown_hover.jpg
FOSSIL,SHB2989939 Elina Convertible Small Backpack Taupe Tan,IDR 1.850.000,,No discount,https://www.banananina.co.id/bags/backpacks/shb2989939-elina-convertible-small-backpack-taupe-tan-121770.html,https://media.banananina.id/catalog/product/0/0/00958211_d6.jpg?v=bee6675dce2e27650799cf849a653ec2&updated=2024-12-06 06:54:23,https://media.banananina.id/catalog/product/0/0/00958211_m6.jpg?v=bee6675dce2e27650799cf849a653ec2&updated=2024-12-06 06:54:23,shb2989939-elina-convertible-small-backpack-taupe-tan-121770,BRAND NEW,"Made of coated canvas and leather. The bag features a zip closure that opens to polyester lining with one zip pocket, one slip pocket, exterior one slip pocket and one zip pocket at back.",Made In Cambodia | Serial Number : SHB2989939 | Old English Brass Hardware | Zip Closure | Polyester Lining | One Zip Pocket | One Slip Pocket | One Slip Pocket | One Zip Pocket | Adjustable Strap,New With Tag,images\backpacks\primary\SHB2989939 Elina Convertible Small Backpack Taupe Tan_primary.jpg,images\backpacks\hover\SHB2989939 Elina Convertible Small Backpack Taupe Tan_hover.jpg
FOSSIL,SHB3088421 Megan Small Backpack Misty Blue,IDR 1.850.000,,No discount,https://www.banananina.co.id/bags/backpacks/shb3088421-megan-small-backpack-misty-blue-121692.html,https://media.banananina.id/catalog/product/0/0/001009136_d.jpg?v=df9e3412629d36b242936ea34a99ee42&updated=2024-12-06 06:36:47,https://media.banananina.id/catalog/product/0/1/01009136_m.jpg?v=df9e3412629d36b242936ea34a99ee42&updated=2024-12-06 06:36:47,shb3088421-megan-small-backpack-misty-blue-121692,BRAND NEW,"Made of printed pvc and polyurethane trim. The backpack features a zip closure that opens to polyester lining with interior one zip pocket, two slip pockets and exterior one zip pocket at front.",Made in Cambodia | Style number SHB3088421 | Old brass english tone hardware | Printed  pvc and polyurethane trim | Zip closure | Polyester lining | Interior 1 zip pocket | Interior 2 slip pockets | Exterior 1 zip pocket at front,New With Tag,images\backpacks\primary\SHB3088421 Megan Small Backpack Misty Blue_primary.jpg,images\backpacks\hover\SHB3088421 Megan Small Backpack Misty Blue_hover.jpg
COACH,CR130 Signature Pace Backpack Khaki Saddle,IDR 3.830.000,,No discount,https://www.banananina.co.id/bags/backpacks/cr130-signature-pace-backpack-khaki-saddle-121437.html,https://media.banananina.id/catalog/product/0/0/001049976_d.jpg?v=a9658fa7406f4d9471cc2711bd502552&updated=2024-10-28 07:36:25,https://media.banananina.id/catalog/product/0/0/001049976_m.jpg?v=a9658fa7406f4d9471cc2711bd502552&updated=2024-10-28 07:36:25,cr130-signature-pace-backpack-khaki-saddle-121437,BRAND NEW,"Signature coated canvas with smooth leather with fabric lining. The bag features an open push lock and drawstring closure, silver tone hardware, one zip pocket, one slip pocket, and one front zip pocket.",Made in Philippines | Style number : CR130 | Open push lock and drawstring closure | Silver tone hardware | Metal logo lettering at front,Brand new | Completeness: Care card,images\backpacks\primary\CR130 Signature Pace Backpack Khaki Saddle_primary.jpg,images\backpacks\hover\CR130 Signature Pace Backpack Khaki Saddle_hover.jpg
COACH,CE601 Signature Dempsey Drawstring Backpack Black Smoke Black Multi,IDR 3.350.000,,No discount,https://www.banananina.co.id/bags/backpacks/ce601-signature-dempsey-drawstring-backpack-black-smoke-black-multi-121426.html,https://media.banananina.id/catalog/product/0/0/00965907_d6.jpg?v=e6aeb78350b0a243d4d5fa838efd623f&updated=2024-12-06 04:25:17,https://media.banananina.id/catalog/product/0/0/00965907_m6.jpg?v=e6aeb78350b0a243d4d5fa838efd623f&updated=2024-12-06 04:25:17,ce601-signature-dempsey-drawstring-backpack-black-smoke-black-multi-121426,BRAND NEW,"Made of signature jacquard and leather. The bag features a drawstring closure that opens to fabric lining with one zip pocket, adjustable strap.",Made In Myanmar | Serial Number : CE601 | Silver-Tone Hardware | Drawstring Closure | Fabric Lining | One Zip Pocket | Adjustable Strap,New With Tag,images\backpacks\primary\CE601 Signature Dempsey Drawstring Backpack Black Smoke Black Multi_primary.jpg,images\backpacks\hover\CE601 Signature Dempsey Drawstring Backpack Black Smoke Black Multi_hover.jpg
COACH,C8603 Mini Court Backpack Pale Lime,IDR 2.750.000,,No discount,https://www.banananina.co.id/bags/backpacks/c8603-mini-court-backpack-pale-lime-121414.html,https://media.banananina.id/catalog/product/0/0/00936525_d.jpg?v=7b0bf423252a8fa5a9bccf8fa6de3a93&updated=2024-12-06 04:24:40,https://media.banananina.id/catalog/product/0/0/00936525_m.jpg?v=7b0bf423252a8fa5a9bccf8fa6de3a93&updated=2024-12-06 04:24:40,c8603-mini-court-backpack-pale-lime-121414,BRAND NEW,"Crafted of refined pebble leather. Inside zip and multifunction pockets. Double zip closure, fabric lining. Handle with 1 1/2 inc drop. Outside zip and open pockets. Adjustable shoulder straps.",Made In Philippines | Style Number : C8603 | Silver Tone Hardware | Double Zip Closure | 1 Zip Pocket At Front | 1 Zip Pocket | 1 Slip Pocket | Adjustable Backpack Wear,Brand New With Tag,images\backpacks\primary\C8603 Mini Court Backpack Pale Lime_primary.jpg,images\backpacks\hover\C8603 Mini Court Backpack Pale Lime_hover.jpg
KATE SPADE,X Disney Mickey Flower Jacquard Sinch Medium Flap Backpack Cream Multi,IDR 3.850.000,,No discount,https://www.banananina.co.id/bags/backpacks/x-disney-mickey-flower-jacquard-medium-flap-backpack-cream-multi.html,https://media.banananina.id/catalog/product/0/0/001044808_d.jpg?v=ee7e1633a3460b109b2b3e7c32d748a7&updated=2024-10-28 07:20:30,https://media.banananina.id/catalog/product/0/1/01044808_m.jpg?v=ee7e1633a3460b109b2b3e7c32d748a7&updated=2024-10-28 07:20:30,x-disney-mickey-flower-jacquard-medium-flap-backpack-cream-multi,BRAND NEW,"Made of jacquard and leather trim. The bag features a drawstring closure that opens to fabric lining with three slip pockets, one zip pocket, adjustable strap.",Made In Vietnam | Serial Number : KC892 | Light Gold Tone Hardware | Drawstring Closure | Fabric Lining | Three Slip Pockets | One Zip Pocket | Adjustable Strap | Metal Pinmount Logo,New With Tag,images\backpacks\primary\X Disney Mickey Flower Jacquard Sinch Medium Flap Backpack Cream Multi_primary.jpg,images\backpacks\hover\X Disney Mickey Flower Jacquard Sinch Medium Flap Backpack Cream Multi_hover.jpg
