Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,CH309 Jamie Coach Stripe Wristlet Wine Multi,IDR 1.500.000,,No discount,https://www.banananina.co.id/bags/clutches/ch309-jamie-coach-stripe-wristlet-wine-multi-126247.html,https://media.banananina.id/catalog/product/0/0/00977778_d2_1.jpg?v=555f6c2ec7f3fbfe407852ae78a4702f&updated=2024-10-09 02:48:04,https://media.banananina.id/catalog/product/0/0/00977778_m2.jpg?v=555f6c2ec7f3fbfe407852ae78a4702f&updated=2024-10-09 02:48:04,ch309-jamie-coach-stripe-wristlet-wine-multi-126247,BRAND NEW,"Crafted from refined pebble leather. It features an open zip closure, silver tone hardware, 2 card slots, and embossed logo on the front.",Made in Philippines | Serial number CH309 | Silver tone hardware | Zip closure | Fabric Lining | Strap with dogleash clip attached,Brand New,images\clutches\primary\CH309 Jamie Coach Stripe Wristlet Wine Multi_primary.jpg,images\clutches\hover\CH309 Jamie Coach Stripe Wristlet Wine Multi_hover.jpg
COACH,88500 Charlie Horse And Carriage Print And Varsity Stripe Pouch Chalk,IDR 2.000.000,,No discount,https://www.banananina.co.id/88500-charlie-horse-and-carriage-print-and-varsity-stripe-pouch-chalk.html,https://media.banananina.id/catalog/product/0/0/00742020_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00742020_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,88500-charlie-horse-and-carriage-print-and-varsity-stripe-pouch-chalk,BRAND NEW,"Printed coated canvas with polished pebble leather details. Two credit card slots. Zip-top closure, fabric lining. Outside zip pocket. Detachable wrist strap. 9 1/4 (L) x 6 3/4 (H) x 2 (W) inc.",Made In Philippines | Style Number : 88500 | Open Zip Closure | Gunmetal Tone Hardware | 2 Card Slots,Brand New With Tag,images\clutches\primary\88500 Charlie Horse And Carriage Print And Varsity Stripe Pouch Chalk_primary.jpg,images\clutches\hover\88500 Charlie Horse And Carriage Print And Varsity Stripe Pouch Chalk_hover.jpg
COACH,1276 Signature Travel Patches Large Travel Kit Mahogany Multi,IDR 3.500.000,,No discount,https://www.banananina.co.id/1276-signature-travel-patches-large-travel-kit-mahogany-multi.html,https://media.banananina.id/catalog/product/0/1/01099808_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01099808_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,1276-signature-travel-patches-large-travel-kit-mahogany-multi,BRAND NEW,Made of signature coated canvas and smooth leather. The bag features a zip closure that opens to fabric lining with interior one slip pocket and exterior one slip pocket at back.,Made in vietnam | Style number 1276 | Gunmetal tone hardware | Signature coated canvas and smooth leather | Zip closure | Fabric lining | Interior 1 slip pocket | Exterior 1 slip pocket at back,New With Tag,images\clutches\primary\1276 Signature Travel Patches Large Travel Kit Mahogany Multi_primary.jpg,images\clutches\hover\1276 Signature Travel Patches Large Travel Kit Mahogany Multi_hover.jpg
BALLY,Monogram Cedy Stripe Pouch Bag Multicue Midnight,IDR 5.800.000,,No discount,https://www.banananina.co.id/bags/clutches/monogram-cedy-stripe-pouch-bag-multicue-midnight-129854.html,https://media.banananina.id/catalog/product/0/0/00913280_d.jpg?v=3b277f87a6f07bf5bc9a0bdcfaa4e435&updated=2024-10-28 09:40:53,https://media.banananina.id/catalog/product/0/0/00913280_m.jpg?v=3b277f87a6f07bf5bc9a0bdcfaa4e435&updated=2024-10-28 09:40:53,monogram-cedy-stripe-pouch-bag-multicue-midnight-129854,BRAND NEW,"This versatile bag from  BALLY  comes with a beautiful design in brown. Embellished with the Bally of Switzerland logo, perfect for putting in a large bag. Comes with a leather hand strap, allowing it to be carried as a compact clutch.",Made In Romania | TPU leather | B-monogram | cow leather | wrist strap | zip top closure | flat pocket outside | Bally of Switzerland logo,Brand New,images\clutches\primary\Monogram Cedy Stripe Pouch Bag Multicue Midnight_primary.jpg,images\clutches\hover\Monogram Cedy Stripe Pouch Bag Multicue Midnight_hover.jpg
KARL LAGERFELD,Demi Neoprene Cate Pins Mini Clutch Navy,IDR 2.550.000,,No discount,https://www.banananina.co.id/bags/clutches/demi-mini-neoprene-cate-pins-clutch-navy.html,https://media.banananina.id/catalog/product/0/0/001096624_d.jpg?v=dc35e84d9a2c94b927469e7308a4f465&updated=2024-10-23 03:57:12,https://media.banananina.id/catalog/product/0/1/01096624_m.jpg?v=dc35e84d9a2c94b927469e7308a4f465&updated=2024-10-23 03:57:12,demi-mini-neoprene-cate-pins-clutch-navy,BRAND NEW,"Made of nylon material. The bag features a zip closure that opens to polyester lining with interior one slip pocket, two card slots.",Made in cambodia | Style number LH51I9DE | Silver tone hardware | Nylon material | Zip closure | Polyester lining | Interior 1 slip pocket | Interior 2 card slots | Karl Lagerfeld metal logo lettering,New With Tag,images\clutches\primary\Demi Neoprene Cate Pins Mini Clutch Navy_primary.jpg,images\clutches\hover\Demi Neoprene Cate Pins Mini Clutch Navy_hover.jpg
KARL LAGERFELD,Demi Mini Cate Pins Clutch Light Straw,IDR 2.500.000,,No discount,https://www.banananina.co.id/bags/clutches/demi-mini-cate-pins-clutch-light-straw-129433.html,https://media.banananina.id/catalog/product/0/0/001071839_d.jpg?v=f07015e437e6eafa92ff55fb35344801&updated=2024-10-22 02:23:09,https://media.banananina.id/catalog/product/0/1/01071839_m.jpg?v=f07015e437e6eafa92ff55fb35344801&updated=2024-10-22 02:23:09,demi-mini-cate-pins-clutch-light-straw-129433,BRAND NEW,"Made of straw and leather. The bag features a zip closure that opens to polyester lining with two card slots, one slip pocket, removable strap.",Made In Cambodia | Serial Number : LH41L9DE LTS | Silver Tone Hardware | Zip Closure | Polyester Lining | 2 Card Slots | 1 Slip pocket | Removable Strap | Karl Lagerfeld Metal Logo,New With Tag,images\clutches\primary\Demi Mini Cate Pins Clutch Light Straw_primary.jpg,images\clutches\hover\Demi Mini Cate Pins Clutch Light Straw_hover.jpg
COACH,C6902 Horse And Carriage Nolita 19 Black Multi,IDR 3.500.000,,No discount,https://www.banananina.co.id/c6902-horse-and-carriage-nolita-19-black-multi-128974.html,https://media.banananina.id/catalog/product/0/0/00783938_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00783938_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,c6902-horse-and-carriage-nolita-19-black-multi-128974,BRAND NEW,"Crafted from refined pebble leather. Two credit card slots. Inside multifunction pocket. Zip-top closure, fabric lining. Handle with 6 1/4 inc drop. 7 1/2 (L) x 4 1/2 (H) x 2 (W) inc.",Made In Vietnam | Style Number: C6902 | Gunmetal Tone Hardware | Open Zip Closure | 1 Slip Pocket | 2 Card Slots,New With Tag,images\clutches\primary\C6902 Horse And Carriage Nolita 19 Black Multi_primary.jpg,images\clutches\hover\C6902 Horse And Carriage Nolita 19 Black Multi_hover.jpg
COACH,CS445 Signature Colorblock Nolita 19 Khaki Black,IDR 3.500.000,,No discount,https://www.banananina.co.id/cs445-signature-colorblock-nolita-19-khaki-black.html,https://media.banananina.id/catalog/product/0/1/01049419_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01049419_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,cs445-signature-colorblock-nolita-19-khaki-black,BRAND NEW,"Signature coated canvas with fabric lining. The bag features an open zip closure, gold tone hardware, and two card slots.",Made in Philippines | Style number : CS445 | Open zip closure | Gold tone hardware | Metal logo lettering at top center,Brand new,images\clutches\primary\CS445 Signature Colorblock Nolita 19 Khaki Black_primary.jpg,images\clutches\hover\CS445 Signature Colorblock Nolita 19 Khaki Black_hover.jpg
FOSSIL,ZB1827015 Devon Crossbody Black Brown,IDR 1.375.000,,No discount,https://www.banananina.co.id/zb1827015-devon-crossbody-black-brown.html,https://media.banananina.id/catalog/product/0/0/00994488_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00994488_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,zb1827015-devon-crossbody-black-brown,BRAND NEW,"Crafted from leather with polyester lining interior. The bag features an open double zip closure, old english brass tone hardware, 1 center slip pocket with button closure, 1 zip pocket, and 3 card slots.",Made in Cambodia | Style Number : ZB1827015 | Old English Brass Tone Hardware | Double Zip Closure | Polyester Lining | Three Card Slots | One Zip Pocket | 1 Slip Compartment | Adjustable/Removable Crossbody Wear,New With Tag | Completeness: Long Strap,images\clutches\primary\ZB1827015 Devon Crossbody Black Brown_primary.jpg,images\clutches\hover\ZB1827015 Devon Crossbody Black Brown_hover.jpg
MICHAEL KORS,Monogram Jet Set Item Large 2 in 1 Card Case Wristlet Camel,IDR 1.850.000,,No discount,https://www.banananina.co.id/bags/clutches/monogram-jet-set-item-large-2-in-1-card-case-wristlet-camel-128734.html,https://media.banananina.id/catalog/product/0/0/00991709_d11.jpg?v=b59cee46665dfec5a3955c286f2443c5&updated=2024-10-09 02:31:18,https://media.banananina.id/catalog/product/0/0/00991709_m.jpg?v=b59cee46665dfec5a3955c286f2443c5&updated=2024-10-09 02:31:18,monogram-jet-set-item-large-2-in-1-card-case-wristlet-camel-128734,BRAND NEW,"Made of coated canvas. The wristlet features a zip closure that opens to polyester lining with three card slots, one slip pocket, exterior one slip pocket, removable card case.",Made In Vietnam | Serial Number : 35F3STTW9R | Silver-Tone Hardware | Zip Closure | Polyester Lining | Three Card Slots | One Slip Pocket | One Slip Pocket | Removable Card Case | Removable Wrist Strap,Brand new,images\clutches\primary\Monogram Jet Set Item Large 2 in 1 Card Case Wristlet Camel_primary.jpg,images\clutches\hover\Monogram Jet Set Item Large 2 in 1 Card Case Wristlet Camel_hover.jpg
