Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
MICHAEL KORS,Signature Gabby Small Top Zip Curve Satchel Powder Blush Multi,IDR 2.500.000,,No discount,https://www.banananina.co.id/signature-gabby-small-top-zip-curve-satchel-powder-blush-multi.html,https://media.banananina.id/catalog/product/0/0/00991488_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00991488_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,signature-gabby-small-top-zip-curve-satchel-powder-blush-multi,BRAND NEW,"Made of signature coated canvas. The bag features a zip closure that opens to polyester lining with interior one zip pocket, one slip pocket and exterior one slip pocket at front with flap magnetic closure.",Made in Bangladesh | Style Number : 35S3G5GS5B | Silver tone hardware | Signature coated canvas | Zip closure | Polyester lining | Interior 1 zip pocket | Interior 1 slip pocket | Exterior 1 slip pocket at front with flap magnetic closure | Adjustable and removable long strap,New With Tag,images\satchels\primary\Signature Gabby Small Top Zip Curve Satchel Powder Blush Multi_primary.jpg,images\satchels\hover\Signature Gabby Small Top Zip Curve Satchel Powder Blush Multi_hover.jpg
FOSSIL,SHB3030189 Sydney Satchel White Multi,IDR 2.500.000,,No discount,https://www.banananina.co.id/shb3030189-sydney-satchel-white-multi.html,https://media.banananina.id/catalog/product/0/0/00893136_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00893136_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,shb3030189-sydney-satchel-white-multi,BRAND NEW,"Crafted from printed PVC or polyurethane trim, It features an open zip closure, old english brass tone hardware, 1 zip pocket, 2 slip pockets and 1 rear slip pocket.",Made In Cambodia | Style Number : SHB3030189 | Zip Closure | Double Handles | Adjustable And Removable Long Strap | Four Protective Metal Feet At Base,Brand new,images\satchels\primary\SHB3030189 Sydney Satchel White Multi_primary.jpg,images\satchels\hover\SHB3030189 Sydney Satchel White Multi_hover.jpg
FOSSIL,ZB7314664 Rachel Satchel Pink Multi,IDR 2.000.000,IDR 2.500.000,20%,https://www.banananina.co.id/bags/satchels/zb7314664-rachel-satchel-pink-multi-125368.html,https://media.banananina.id/catalog/product/0/0/00724334_d.jpg?v=c5e7ddc662a231fad39dd05f931f64ac&updated=2024-11-15 09:00:05,https://media.banananina.id/catalog/product/0/0/00724334_m4.jpg?v=c5e7ddc662a231fad39dd05f931f64ac&updated=2024-11-15 09:00:05,zb7314664-rachel-satchel-pink-multi-125368,BRAND NEW,"Crafted from printed PVC/Polyurethane trim. Interior material : ViralOff® Recycled polyester. Interior details : 1 slide pocket, 1 zipper pocket. Handle strap description : 1 adjustable & detachable shoulder strap, 2 Handles.",Made In Cambodia | Style Number : ZB7314664 | Old English Brass Tone Hardware | Grab Drop : 4.5 inc Handles | Shoulder Drop : 23.5 inc Strap When Fully Extended | Exterior Details: 2 Slide Pockets | Closure : Zipper | Measurements : 10 L x 5.75 W x 8 H inc | 1 Zip Pocket | 2 Slip Pockets,Brand New | Completeness: Care card,images\satchels\primary\ZB7314664 Rachel Satchel Pink Multi_primary.jpg,images\satchels\hover\ZB7314664 Rachel Satchel Pink Multi_hover.jpg
COACH,C8448 Signature Jacquard Stripe Dempsey Carryall Bag Wine Multi,IDR 4.950.000,,No discount,https://www.banananina.co.id/c8448-signature-jacquard-stripe-dempsey-carryall-bag-wine-multi.html,https://media.banananina.id/catalog/product/0/0/00912730_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00912730_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,c8448-signature-jacquard-stripe-dempsey-carryall-bag-wine-multi,BRAND NEW,"Made of signature jacquard and pebble leather. The bag features a button closure that opens to fabric lining with two slip pockets, one zip pocket.",Made in Philippines | Creed Number C8448 | Gold-tone hardware | Signature Jacquard and Pebble Leather Material | Button Closure | Fabric Lining | Two Slip Pockets | One Zip Pocket | Adjustable and Removable Strap | Handles with 13.5cm drop | Four Protective Metal Feet At Base,Brand new | Completeness: Care card,images\satchels\primary\C8448 Signature Jacquard Stripe Dempsey Carryall Bag Wine Multi_primary.jpg,images\satchels\hover\C8448 Signature Jacquard Stripe Dempsey Carryall Bag Wine Multi_hover.jpg
KATE SPADE,Madison Lip Toss Small Satchel Black Multi,IDR 2.875.000,,No discount,https://www.banananina.co.id/bags/satchels/madison-lip-toss-small-satchel-black-multi-125264.html,https://media.banananina.id/catalog/product/0/1/01072631_d.jpg?v=a3801d4c56ef5d55e13fc486109893f4&updated=2024-08-09 10:27:49,https://media.banananina.id/catalog/product/0/1/01072631_m.jpg?v=a3801d4c56ef5d55e13fc486109893f4&updated=2024-08-09 10:27:49,madison-lip-toss-small-satchel-black-multi-125264,BRAND NEW,"Made of saffiano leather. The bag features a zip closure that opens to jacquard lining with interior one zip pocket, one slip pocket and exterior one slip pocket at front.",Made in indonesia | Style number KF490 | Light gold tone hardware | Saffiano leather | Zip closure | Jacquard lining | Interior 1 zip pocket | Interior 1 slip pocket | Exterior 1 slip pocket at front | Adjustable and removable long strap | Kate spade metal logo lettering | Four protective metal feet at base,New With Tag,images\satchels\primary\Madison Lip Toss Small Satchel Black Multi_primary.jpg,images\satchels\hover\Madison Lip Toss Small Satchel Black Multi_hover.jpg
FOSSIL,SHB2613142 Felicity Satchel Tropical,IDR 2.000.000,IDR 2.500.000,20%,https://www.banananina.co.id/shb2613142-felicity-satchel-tropical.html,https://media.banananina.id/catalog/product/0/0/00657686_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00657686_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,shb2613142-felicity-satchel-tropical,BRAND NEW,"The bag is crafted of canvas and leather trim with floral design. It features double handles, a zip closure, a fabric lining with a zip wall pocket and double slip wall pockets.",Made in Cambodia | Style number SHB2613142 | Old brass hardware | Adjustable & removable long strap | Fossil embossed logo lettering,Brand new,images\satchels\primary\SHB2613142 Felicity Satchel Tropical_primary.jpg,images\satchels\hover\SHB2613142 Felicity Satchel Tropical_hover.jpg
MICHAEL KORS,Mercer Medium Messenger Bright Red,IDR 2.100.000,,No discount,https://www.banananina.co.id/bags/satchels/mercer-medium-messenger-bright-red-125132.html,https://media.banananina.id/catalog/product/0/0/001059426_d_1.jpg?v=5ae5dfadd0befb994f8157a0e1d165b9&updated=2024-08-09 04:12:33,https://media.banananina.id/catalog/product/0/0/001059426_m_1.jpg?v=5ae5dfadd0befb994f8157a0e1d165b9&updated=2024-08-09 04:12:33,mercer-medium-messenger-bright-red-125132,BRAND NEW,"Made of Pebble leather. The bag features an open top handles that opens to leather lining and polyester lining, two compartments, three card slots and one center zip pocket.",Made In Cambodia | Serial Number : 35S1GM9M2L | Gold Tone Hardware | Leather and polyester lining | 2 Compartments | 1 Center Zip Pocket | 3 Card Slots | Removable and Adjustable Longstrap | Metal Logo Lettering At Top Center,Brand new,images\satchels\primary\Mercer Medium Messenger Bright Red_primary.jpg,images\satchels\hover\Mercer Medium Messenger Bright Red_hover.jpg
MICHAEL KORS,Mercer Signature Medium Messenger Brown,IDR 2.625.000,,No discount,https://www.banananina.co.id/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYmFuYW5hbmluYS5jby5pZC9iYWdzL3NhdGNoZWxzLmh0bWw_cD00/product/125149/form_key/e0NTPCPmMENMqXJJ/,,,,,,,,,
COACH,CH140 Signature Chambray Sydney Satchel Bag Cornflower Multi Silver,IDR 3.100.000,,No discount,https://www.banananina.co.id/bags/satchels/ch140-signature-chambray-sydney-satchel-bag-cornflower-multi-silver-121425.html,https://media.banananina.id/catalog/product/0/0/00970716_d83.jpg?v=e4b26d3b59a0953fccf382304e23ff17&updated=2024-12-06 04:20:54,https://media.banananina.id/catalog/product/0/0/00970716_m2.jpg?v=e4b26d3b59a0953fccf382304e23ff17&updated=2024-12-06 04:20:54,ch140-signature-chambray-sydney-satchel-bag-cornflower-multi-silver-121425,BRAND NEW,"Made of signature chambray and smooth leather. The bag features a zip closure that opens to fabric lining with one slip pocket, handles drop 8 cm.",Made In Myanmar | Serial Number : CH140 | Silver Tone Hardware | Zip Closure | Signature Chambray and Smooth Leather Material | Fabric Lining | One Slip Pocket | Handles Drop 8 cm | Removable and Adjustable Long Strap | Coach Metal Logo Lettering,Brand new,images\satchels\primary\CH140 Signature Chambray Sydney Satchel Bag Cornflower Multi Silver_primary.jpg,images\satchels\hover\CH140 Signature Chambray Sydney Satchel Bag Cornflower Multi Silver_hover.jpg
MICHAEL KORS,Carmen Medium Flap Belted Satchel Black,IDR 2.700.000,,No discount,https://www.banananina.co.id/bags/satchels/carmen-medium-flap-belted-satchel-black-121785.html,https://media.banananina.id/catalog/product/0/0/00833730_d2.jpg?v=8daea9559dd641ee9c55ca036d51025e&updated=2024-09-06 07:55:48,https://media.banananina.id/catalog/product/0/0/00833730_m2.jpg?v=8daea9559dd641ee9c55ca036d51025e&updated=2024-09-06 07:55:48,carmen-medium-flap-belted-satchel-black-121785,BRAND NEW,Crafted from faux leather with saffiano leather. Its belted side gussets can be adjusted and open to a pocketed interior sized,Made In Cambodia | Style Number : 35S2GNMS8L | Gold Tone Hardware | Flap with Magnetic Closure | 1 Zip Pocket | 1 Slip Pocket | 1 Slip Pocket at back | Double Handles Drop 18 cm | Adjustable and Removable Long Strap,Brand new | Completeness: Care card,images\satchels\primary\Carmen Medium Flap Belted Satchel Black_primary.jpg,images\satchels\hover\Carmen Medium Flap Belted Satchel Black_hover.jpg
