Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
KARL LAGERFELD,Maybelle Demi Nylon Shoulder Bag Black,IDR 2.450.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/maybelle-demi-nylon-shoulder-bag-black-124407.html,https://media.banananina.id/catalog/product/0/0/001066211_d.jpg?v=9002aa6558bd0ae0546791642c9c7ced&updated=2024-11-05 09:23:58,https://media.banananina.id/catalog/product/0/1/01066211_s.jpg?v=9002aa6558bd0ae0546791642c9c7ced&updated=2024-11-05 09:23:58,maybelle-demi-nylon-shoulder-bag-black-124407,BRAND NEW,"Made of nylon. The bag features a zip closure that opens to polyester lining with interior one slip pocket, two card slots.",Made in cambodia | Style number LH41E9DE | Gunmetal tone hardware | Nylon material | Zip closure | Polyeter lining | Interior 1 slip pocket | Interior 2 card slots | Karl Lagerfeld metal logo lettering,New With Tag,images\shoulder\primary\Maybelle Demi Nylon Shoulder Bag Black_primary.jpg,images\shoulder\hover\Maybelle Demi Nylon Shoulder Bag Black_hover.jpg
MARC JACOBS,H916L03FA22 Crescent Shoulder Bag Black,IDR 7.750.000,,No discount,https://www.banananina.co.id/h916l03fa22-crescent-shoulder-bag-black.html,https://media.banananina.id/catalog/product/0/1/01067679_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01067679_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,h916l03fa22-crescent-shoulder-bag-black,BRAND NEW,"Made of pebble leather with nylon lining. The bag features an open zip closure, gold tone hardware, one zip pocket, and one eksterior front zip pocket.",Made in Vietnam | Style number : H916L03FA22-001 | Open zip closure | Gold tone hardware,Brand new | Completeness: Care card,images\shoulder\primary\H916L03FA22 Crescent Shoulder Bag Black_primary.jpg,images\shoulder\hover\H916L03FA22 Crescent Shoulder Bag Black_hover.jpg
TORY BURCH,Mercer Nylon Small Shoulder Bag Mallow,IDR 4.670.000,,No discount,https://www.banananina.co.id/mercer-nylon-small-shoulder-bag-mallow.html,https://media.banananina.id/catalog/product/0/0/00869501_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00869501_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,mercer-nylon-small-shoulder-bag-mallow,BRAND NEW,"Crafted from nylon. It features an open zip closure, silver-colored metal hardware and two card slots.",Made in Cambodia | Style Number 88885  500 | Silver Tone Hardware | Open Zip Closure | 2 Card Slots | Adjustable/Removable Crossbody Wear | 1 Removable Chain Shoulder Strap | 1 Removable Leather Shoulder Strap | Height: 14.5cm Width: 22.5cm Depth: 5cm | Strap drop: 24cm,Brand new,images\shoulder\primary\Mercer Nylon Small Shoulder Bag Mallow_primary.jpg,images\shoulder\hover\Mercer Nylon Small Shoulder Bag Mallow_hover.jpg
KARL LAGERFELD,Lafayette Small Quilted Shoulder Bag Black,IDR 4.250.000,,No discount,https://www.banananina.co.id/lafayette-small-quilted-shoulder-bag-black.html,https://media.banananina.id/catalog/product/0/1/01067730_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01067730_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,lafayette-small-quilted-shoulder-bag-black,BRAND NEW,"Made of lambskin leather with polyester lining. The bagfeatures an open button magnetic flap closure, gold tone hardware, six card slots, one slip pocket, and one zip pocket.",Made in Vietnam | Style number : LH0EB6BD | Open button magnetic flap closure | Gold tone hardware,Brand new,images\shoulder\primary\Lafayette Small Quilted Shoulder Bag Black_primary.jpg,images\shoulder\hover\Lafayette Small Quilted Shoulder Bag Black_hover.jpg
KATE SPADE,Reegan Smooth Leather Bucket Bag Black,IDR 4.250.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/reegan-smooth-leather-bucket-bag-black-124435.html,https://media.banananina.id/catalog/product/0/1/01067532_d.jpg?v=c92183d6b92429b38ddc6dcd3290c596&updated=2024-07-29 10:10:44,https://media.banananina.id/catalog/product/0/1/01067532_m.jpg?v=c92183d6b92429b38ddc6dcd3290c596&updated=2024-07-29 10:10:44,reegan-smooth-leather-bucket-bag-black-124435,BRAND NEW,"Made of smooth leather with polyester lining. The bag features an open button magnetic closure, gold tone hardware, one zip pocket, adjustable or removable bucket wear.",Made in Philippines | Style number : KA753 | Open button magnetic closure | Gold tone hardware,Brand new,images\shoulder\primary\Reegan Smooth Leather Bucket Bag Black_primary.jpg,images\shoulder\hover\Reegan Smooth Leather Bucket Bag Black_hover.jpg
KATE SPADE,Oversized Spade Flower Monogram Reece Small Shoulder Bag Garnet Rose,IDR 3.535.000,,No discount,https://www.banananina.co.id/oversized-spade-flower-monogram-reece-small-shoulder-bag-garnet-rose-124428.html,https://media.banananina.id/catalog/product/0/0/00886648_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00886648_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,oversized-spade-flower-monogram-reece-small-shoulder-bag-garnet-rose-124428,BRAND NEW,"Made of coated canvas. The bag features a zip closure that opens to fabric lining with one zip pocket, convertible shoulder bag, exterior one slip pocket at back.",Made In Cambodia | Serial Number : K9773 | Old Brass Hardware | Zip Closure | Fabric Lining | One Zip Pocket | Exterior One Slip Pocket at Back | Removable Shoulder Bag | Adjustable and Removable Long Strap,New With Tag,images\shoulder\primary\Oversized Spade Flower Monogram Reece Small Shoulder Bag Garnet Rose_primary.jpg,images\shoulder\hover\Oversized Spade Flower Monogram Reece Small Shoulder Bag Garnet Rose_hover.jpg
TORY BURCH,Kira Chevron Flap Chain Shoulder Bag Black,IDR 10.000.000,,No discount,https://www.banananina.co.id/kira-chevron-flap-chain-shoulder-bag-black-124352.html,https://media.banananina.id/catalog/product/0/0/00595877_d2.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00595877_m2.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,kira-chevron-flap-chain-shoulder-bag-black-124352,BRAND NEW,"Chevron-quilting on the softest leather that has been stitched and tanned in Italy, with a beveled logo in brushed gold. The Kira Flap Shoulder Bag has an adjustable linked chain strap.",Made in China | Style number : 58465 0619 001 | Gold tone hardware | Leather material | Magnetic snap closure | 1 zip pocket | 2 slip pockets | 1 center zip pocket,Brand new,images\shoulder\primary\Kira Chevron Flap Chain Shoulder Bag Black_primary.jpg,images\shoulder\hover\Kira Chevron Flap Chain Shoulder Bag Black_hover.jpg
MICHAEL KORS,Cece Medium Flap Leather Shoulder Bag Black Silver,IDR 2.750.000,IDR 3.000.000,8%,https://www.banananina.co.id/cece-medium-flap-leather-shoulder-bag-black-silver.html,https://media.banananina.id/catalog/product/0/1/01041891_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01041891_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,cece-medium-flap-leather-shoulder-bag-black-silver,BRAND NEW,"Made of Faux Leather. The bag features a turn lock closure that opens to polyester lining with one zip pocket, one slip pocket, exterior one slip pocket at back.",Made In Bangladesh | Serial Number : 35S3S0EF8O | Silver Tone Hardware | Polyester Lining | One Slip Pocket | One Zip Pocket | Exterior One Slip Pocket At Back,New With Tag,images\shoulder\primary\Cece Medium Flap Leather Shoulder Bag Black Silver_primary.jpg,images\shoulder\hover\Cece Medium Flap Leather Shoulder Bag Black Silver_hover.jpg
FOSSIL,SHB3165609 Shae Large Hobo Wine,IDR 2.535.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/shb3165609-shae-large-hobo-wine.html,https://media.banananina.id/catalog/product/0/0/001065235_d.jpg?v=1b5af49a992a29ac26941ff0402e20c7&updated=2024-09-06 08:25:21,https://media.banananina.id/catalog/product/0/1/01065235_m.jpg?v=1b5af49a992a29ac26941ff0402e20c7&updated=2024-09-06 08:25:21,shb3165609-shae-large-hobo-wine,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to fabric lining with one slip pocket, one zip pocket, shoulder strap drop 21 cm.",Made In Cambodia | Serial Number : SHB3165609 | Old-Brass Hardware | Zip Closure | Fabric Lining | One Slip Pocket | One Zip Pocket | Shoulder Strap Drop 21 cm,Brand new | Completeness: Care card,images\shoulder\primary\SHB3165609 Shae Large Hobo Wine_primary.jpg,images\shoulder\hover\SHB3165609 Shae Large Hobo Wine_hover.jpg
TORY BURCH,Eleanor Textured Small Convertible Shoulder Bag Meadowsweet,IDR 9.750.000,,No discount,https://www.banananina.co.id/eleanor-textured-small-convertible-shoulder-bag-meadowsweet-123430.html,https://media.banananina.id/catalog/product/0/0/00961402_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00961402_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,eleanor-textured-small-convertible-shoulder-bag-meadowsweet-123430,BRAND NEW,"Signature hardware, scaled-up in sculptural brass. The Eleanor Small Bag is a structured shape in soft textured leather‚ with edges that are painted by hand, to emphasize the clean lines.","Its twisted rope chain is inspired by jewelry, and is convertible: wear it doubled or long and crossbody. | Made In China | Style Number : 84057 0921 | Open Magnetic Flap Closure | Old Englisgh Brass Tone Hardware | 2 Slip Pockets | 1 Zip Pocket | Adjustable Strap",Brand New,images\shoulder\primary\Eleanor Textured Small Convertible Shoulder Bag Meadowsweet_primary.jpg,images\shoulder\hover\Eleanor Textured Small Convertible Shoulder Bag Meadowsweet_hover.jpg
